Name	1hr	3hrs	9hrs	15hrs	21hrs	27hrs
NCU09823 [gpr-39]	1.000	1.018	1.039	1.159	1.202	1.069
NCU06531 [gpr-25]	1.000	1.115	1.142	1.026	1.175	1.278
NCU08431 [gpr-32]	1.000	1.171	1.302	1.373	1.466	1.641
NCU05829 [gpr-23]	1.000	1.241	1.203	1.231	1.406	1.692
NCU02903 [gpr-16]	1.000	1.533	1.999	2.141	2.343	1.879
NCU04987 [gpr-10]	1.000	2.213	6.399	6.820	2.631	1.996
NCU04106 [gpr-17]	1.003	1.300	1.313	1.323	1.035	1.000
NCU00700 [gpr-15]	1.029	1.030	1.011	1.000	1.027	1.103
NCU04931 [gpr-18]	1.036	1.000	2.963	2.525	2.737	2.133
NCU07769 [gpr-30]	1.179	1.211	1.000	1.080	1.137	1.168
NCU00138 [pre-1]	1.206	1.145	1.069	1.000	1.016	1.075
NCU00005 [gpr-12]	1.250	1.182	1.064	1.025	1.000	1.025
NCU00182 [gpr-11]	1.303	1.694	1.214	1.316	1.280	1.000
NCU07538 [gpr-27]	1.376	1.344	1.000	1.195	1.420	1.253
NCU06312 [gpr-4]	1.387	1.117	1.000	1.063	1.072	1.076
NCU09427 [gpr-3]	1.430	1.752	1.000	1.042	1.689	1.800
NCU00300 [gpr-5]	1.481	1.133	1.000	1.087	1.088	1.126
NCU04626 [gpr-2]	1.898	1.539	1.113	1.000	1.375	1.892
NCU03238 [gpr-9]	2.636	1.519	1.000	1.108	1.142	1.222
NCU09201 [gpr-37]	2.852	1.582	1.000	1.223	1.109	2.255
