Name	0h	2 h	24 h	48 h	72 h	96 h	120 h	144 h
NCU08431 [gpr-32]	1	0	1	0	2	1	8	8
NCU05189 [gpr-21]	2	1	11	1	17	24	18	20
NCU06531 [gpr-25]	2	2	12	9	7	8	6	5
NCU00138 [pre-1]	6	6	6	4	4	5	9	8
NCU00300 [gpr-5]	6	7	7	10	9	10	8	8
NCU06629 [gpr-13]	7	1	2	1	3	4	2	3
NCU07538 [gpr-27]	8	9	30	8	275	440	241	171
NCU04626 [gpr-2]	9	4	4	6	19	21	63	76
NCU09796 [gpr-38]	9	5	11	4	4	10	21	24
NCU07649 [gpr-29]	10	1	9	16	1	1	9	19
NCU05101 [gpr-19]	10	2	2	1	5	5	4	6
NCU08718 [gpr-35]	10	7	10	9	9	11	7	6
NCU00786 [gpr-1]	12	10	29	6	60	58	33	30
NCU06987 [gpr-14]	13	13	15	22	15	23	42	52
NCU04106 [gpr-17]	18	10	11	11	11	13	10	9
NCU09201 [gpr-37]	18	18	17	18	12	12	12	13
NCU05307 [gpr-22]	19	18	35	28	14	19	19	17
NCU08447 [gpr-33]	19	40	13	23	15	17	15	15
NCU06312 [gpr-4]	20	10	8	17	11	14	28	37
NCU05829 [gpr-23]	20	26	25	49	38	30	23	20
NCU09883 [gpr-7]	23	14	21	12	12	14	15	13
NCU08429 [gpr-31]	24	11	14	6	29	19	19	19
NCU05854 [gpr-24]	24	12	33	60	14	10	8	8
NCU03238 [gpr-9]	30	39	37	26	22	27	41	43
NCU08624 [gpr-34]	32	12	12	9	26	7	12	16
NCU09022 [gpr-36]	33	11	18	25	26	17	16	15
NCU01735 [orp-1]	36	34	47	217	282	259	272	232
NCU02903 [gpr-16]	36	36	21	36	19	12	8	7
NCU07769 [gpr-30]	39	82	27	70	23	27	23	24
NCU09823 [gpr-39]	42	58	33	57	15	9	9	8
NCU00700 [gpr-15]	46	30	29	33	33	19	40	64
NCU00005 [gpr-12]	46	42	30	21	35	40	43	50
NCU10055 [nop-1]	53	31	85	54	263	637	558	599
NCU09427 [gpr-3]	67	44	57	42	53	46	38	39
NCU09195 [gpr-6]	72	163	62	102	67	54	56	47
NCU00182 [gpr-11]	93	101	90	68	69	77	81	84
NCU04987 [gpr-10]	197	188	96	153	64	61	77	57
Wild type [mat a]	0	0	1	0	3	9	25	42
